PVS,dataset,Bitrate,Framerate,Resolution,video_codec,0.0_quantil_StdDev_MotionX_non-i,1.0_quantil_FrameSize,iqr_Av_QPBB_non-i,iqr_min_QP,kurtosis_Av_Motion,kurtosis_Av_QPBB_non-i,kurtosis_FrameSize_non-i,mean_Av_QPBB_non_i,quant,std_FrameSize_non-i,std_max_QP_non-i,predicted_mos_mode3_baseline,p1204_3_score
fps_02_960x540_60_yuv420p.yuv_H264_2M,lofps_4K_testnum_014,1980.3193359375,60.0,518400.0,H264,2.8928836822561137,14172.0,4.0,4.0,6.196069196075134,0.7964554439481937,2.798246249968,31.373285128004692,0.6151624534902881,1116.9540955345929,4.3568830161250505,2.7010225414402447,2.5333838567504987
fps_02_960x540_60_yuv420p.yuv_HEVC_0.3M,lofps_4k_testnum_010,290.60546875,60.0,518400.0,HEVC,2.1700581783655455,1551.0,6.038797800656553,6.0,6.712959860799268,0.33080527578544494,3.730602693730952,45.49951578493199,0.8921473683319997,155.24336300746504,3.568625773467473,1.466324513943451,1.4454165614431922
fps_02_960x540_60_yuv420p.yuv_HEVC_0.5M,hifps_120_testnum_000,489.2275390625,60.0,518400.0,HEVC,1.5378776631337874,3146.0,5.0,5.0,6.364327523198488,0.6151283098399682,4.542214136297553,40.9832471918152,0.803593082192455,281.1924519472196,4.188839150739919,2.0871293243471083,1.9469059823213883
fps_02_960x540_60_yuv420p.yuv_HEVC_0.5M,hifps_120_testnum_003,489.2275390625,60.0,518400.0,HEVC,1.5378776631337874,3146.0,5.0,5.0,6.364327523198488,0.6151283098399682,4.542214136297553,40.9832471918152,0.803593082192455,281.1924519472196,4.188839150739919,2.0871293243471083,1.9469059823213883
fps_02_960x540_60_yuv420p.yuv_HEVC_0.5M,hifps_120_testnum_004,489.2275390625,60.0,518400.0,HEVC,1.5378776631337874,3146.0,5.0,5.0,6.364327523198488,0.6151283098399682,4.542214136297553,40.9832471918152,0.803593082192455,281.1924519472196,4.188839150739919,2.0871293243471083,1.9469059823213883
fps_02_960x540_60_yuv420p.yuv_HEVC_0.5M,lofps_4k_testnum_005,489.2275390625,60.0,518400.0,HEVC,1.5378776631337874,3146.0,5.0,5.0,6.364327523198488,0.6151283098399682,4.542214136297553,40.9832471918152,0.803593082192455,281.1924519472196,4.188839150739919,2.0871293243471083,1.9469059823213883
fps_02_960x540_60_yuv420p.yuv_HEVC_0.5M,lofps_4k_testnum_007,489.2275390625,60.0,518400.0,HEVC,1.5378776631337874,3146.0,5.0,5.0,6.364327523198488,0.6151283098399682,4.542214136297553,40.9832471918152,0.803593082192455,281.1924519472196,4.188839150739919,2.0871293243471083,1.9469059823213883
fps_02_960x540_60_yuv420p.yuv_HEVC_0.5M,lofps_4k_testnum_009,489.2275390625,60.0,518400.0,HEVC,1.5378776631337874,3146.0,5.0,5.0,6.364327523198488,0.6151283098399682,4.542214136297553,40.9832471918152,0.803593082192455,281.1924519472196,4.188839150739919,2.0871293243471083,1.9469059823213883
fps_02_960x540_60_yuv420p.yuv_HEVC_0.5M,lofps_4k_testnum_010,489.2275390625,60.0,518400.0,HEVC,1.5378776631337874,3146.0,5.0,5.0,6.364327523198488,0.6151283098399682,4.542214136297553,40.9832471918152,0.803593082192455,281.1924519472196,4.188839150739919,2.0871293243471083,1.9469059823213883
fps_02_960x540_60_yuv420p.yuv_HEVC_0.5M,lofps_4k_testnum_011,489.2275390625,60.0,518400.0,HEVC,1.5378776631337874,3146.0,5.0,5.0,6.364327523198488,0.6151283098399682,4.542214136297553,40.9832471918152,0.803593082192455,281.1924519472196,4.188839150739919,2.0871293243471083,1.9469059823213883
fps_02_960x540_60_yuv420p.yuv_HEVC_0.5M,lofps_4K_testnum_013,489.2275390625,60.0,518400.0,HEVC,1.5378776631337874,3146.0,5.0,5.0,6.364327523198488,0.6151283098399682,4.542214136297553,40.9832471918152,0.803593082192455,281.1924519472196,4.188839150739919,2.0871293243471083,1.9469059823213883
fps_02_960x540_60_yuv420p.yuv_HEVC_0.5M,lofps_4K_testnum_014,489.2275390625,60.0,518400.0,HEVC,1.5378776631337874,3146.0,5.0,5.0,6.364327523198488,0.6151283098399682,4.542214136297553,40.9832471918152,0.803593082192455,281.1924519472196,4.188839150739919,2.0871293243471083,1.9469059823213883
fps_02_960x540_60_yuv420p.yuv_HEVC_1M,lofps_4k_testnum_010,990.2841796875,60.0,518400.0,HEVC,1.7806008307685814,5719.0,4.0,4.0,6.395001039201672,0.5309366791269525,4.163479111900698,35.31474355039339,0.6924459519684978,529.8315403033971,4.494658889148719,2.6502749594233035,2.5391426013275735
3rd_02_1280x720_120_yuv420p.yuv_HEVC_1M,hifps_120_testnum_004,977.375,120.0,921600.0,HEVC,0.022258370465780105,5193.0,2.0,2.0,61.69894510329354,1.4561267523766173,2.349217540494264,43.15870691844798,0.8462491552636859,395.557746994079,1.6821563215083515,2.091988894116115,2.0114710575957777
3rd_02_1280x720_120_yuv420p.yuv_HEVC_2M,hifps_120_testnum_003,1966.2685546875,120.0,921600.0,HEVC,0.06966197625377757,16760.0,1.7433848409761836,2.0,57.36583497393626,2.582580227803943,3.0066938730251014,40.11442606661953,0.7865573738552849,510.1635338858421,1.4924028629268389,2.5143161903877767,2.2524222021904796
3rd_02_1280x720_120_yuv420p.yuv_HEVC_5M,hifps_120_testnum_000,4913.0849609375,120.0,921600.0,HEVC,0.05139339571073258,67596.0,2.0,2.0,56.427919517852835,5.339151946726579,15.635667914828588,36.35396982766679,0.712822937797388,1350.7733429745235,1.4866364561405374,2.9090015755044814,2.8509203661285274
3rd_02_1280x720_30_yuv420p.yuv_HEVC_10M,lofps_4k_testnum_005,10179.8876953125,30.0,921600.0,HEVC,0.11838483652515358,350773.0,1.0,1.0,44.36202762759842,1.341731735126773,5.451535780415684,27.807214246438622,0.5452394950282082,7352.526273302349,1.0191195470418526,3.1522647793695993,3.1196425638258107
3rd_02_1280x720_30_yuv420p.yuv_HEVC_1M,lofps_4k_testnum_007,991.078125,30.0,921600.0,HEVC,0.1913612993330695,42254.0,1.0,1.0,40.80379829415874,2.8189916222901363,3.469494876807927,39.73106246081729,0.7790404404081822,966.0493169099103,1.5343320932296591,2.306201766749432,2.126700291361118
3rd_02_1280x720_30_yuv420p.yuv_HEVC_2M,lofps_4K_testnum_014,1989.84765625,30.0,921600.0,HEVC,0.16899633046857565,95767.0,1.0,1.0,42.27746036622109,4.264867244843856,3.6181989329091593,36.627824778723166,0.7181926427200621,1651.5217857927128,1.5596518338226648,2.6186534408851987,2.314038359531858
3rd_02_1280x720_60_yuv420p.yuv_HEVC_1.6M,lofps_4k_testnum_005,1580.3369140625,60.0,921600.0,HEVC,0.11682962494969634,36574.0,1.0,1.0,49.78407993379346,3.513704654258671,1.1847171843005935,39.434155100486606,0.7732187274605217,1042.1113824678093,1.4731581149291497,2.59557060714234,2.3868299271947464
3rd_02_1280x720_60_yuv420p.yuv_HEVC_10M,hifps_120_testnum_004,10035.9677734375,60.0,921600.0,HEVC,0.04551564180486538,213061.0,2.0,2.0,48.783008758833624,4.373987419442254,8.58661964585071,30.920483550950657,0.6062839911951109,4017.1632411047854,1.23323212587211,3.284489448243683,3.344295938276
3rd_02_1280x720_60_yuv420p.yuv_HEVC_3M,hifps_120_testnum_000,2941.1015625,60.0,921600.0,HEVC,0.07281235953080896,72809.0,2.0,2.0,49.086412728818615,4.61390903401251,2.958405014434793,36.76656120132273,0.7209129647318182,1457.8233608746148,1.5316932293355812,2.871852498738836,2.7617861345185926
3rd_02_1920x1080_120_yuv420p.yuv_H264_10M,hifps_120_testnum_000,9826.9541015625,120.0,2073600.0,H264,0.36015752647633376,151253.0,2.0,2.0,56.299934428700794,6.889148274080149,112.47272595975241,38.39816764868199,0.7529052480133723,3770.09246687063,1.5844025892330622,2.858651192245797,2.8681404691492345
3rd_02_1920x1080_120_yuv420p.yuv_H264_30M,hifps_120_testnum_000,29664.2568359375,120.0,2073600.0,H264,0.26438396439673184,370249.0,2.0,2.0,57.03708976486755,6.586025386566213,119.13218811086891,33.77248368718349,0.6622055624937939,10137.88519664813,1.5269064718957253,3.3547363524183127,3.5353049364076807
3rd_02_1920x1080_120_yuv420p.yuv_HEVC_2M,hifps_120_testnum_000,1975.6728515625,120.0,2073600.0,HEVC,0.09636919378010024,11850.0,1.3885688103585494,2.0,61.12676239125403,1.5097577721844448,15.62231182174602,44.45107573962835,0.8715897203848696,1002.7536633344417,1.3925136430344909,2.3116839436844057,2.1426378448761114
3rd_02_1920x1080_120_yuv420p.yuv_HEVC_50M,hifps_120_testnum_003,50063.1162109375,120.0,2073600.0,HEVC,0.05504831787185828,535521.0,2.0,2.0,56.78060101678208,14.058065484073616,107.1962214688786,31.8219782789634,0.623960358411047,12868.387102893808,1.3985690963691964,3.7297096142693897,3.8745851940544545
3rd_02_1920x1080_30_yuv420p.yuv_H264_10M,lofps_4k_testnum_007,10040.57421875,30.0,2073600.0,H264,1.0253250611387754,439393.0,2.0,2.0,43.922105447299444,1.9086785425580963,6.562106864387717,34.21554377564979,0.6708930152088195,8266.034329055567,1.351198147611418,3.042620733003468,3.1668849614157466
3rd_02_1920x1080_30_yuv420p.yuv_H264_20M,lofps_4k_testnum_011,20378.306640625,30.0,2073600.0,H264,0.6863157089456297,730350.0,1.0,1.0,45.63334431187664,0.7271122152773741,6.529051415626938,30.461397058823533,0.5972822952710497,16387.224955732057,1.0213555797940905,3.3365837709024837,3.285679879489623
3rd_02_1920x1080_30_yuv420p.yuv_H264_5M,lofps_4k_testnum_007,4964.427734375,30.0,2073600.0,H264,1.653481291277198,254115.0,2.0,2.0,46.10899879251526,2.4760342518449088,4.887224355148038,37.64669728356459,0.7381705349718547,4431.546071557993,1.5860270261173832,2.6850523117674827,2.6769505607632533
3rd_02_1920x1080_30_yuv420p.yuv_HEVC_1M,lofps_4K_testnum_013,986.30078125,30.0,2073600.0,HEVC,0.4381566545223126,33661.0,2.0,2.0,38.178830069919854,1.590153910389116,2.1455322832834165,43.923534724087695,0.8612457789036803,1272.453583137833,1.206552798968984,2.1629053788994304,2.0694829919494433
3rd_02_1920x1080_30_yuv420p.yuv_HEVC_20M,lofps_4k_testnum_007,20525.3271484375,30.0,2073600.0,HEVC,0.16349839051177378,743039.0,1.0,1.0,40.28623985408135,0.7831056742826288,5.992669952063062,30.752068658882845,0.6029817384094676,13196.267577878018,0.9152334512081656,3.5177081909966366,3.5582078745006793
3rd_02_1920x1080_30_yuv420p.yuv_HEVC_3M,lofps_4K_testnum_014,2976.984375,30.0,2073600.0,HEVC,0.33221434831121144,129619.0,1.0362773029439722,1.0,37.77734691695915,2.3665550106208135,1.713700123831707,39.78163544524953,0.7800320675539123,2541.0585019260006,1.3625589891423344,2.7717509979793857,2.446760269684617
3rd_02_1920x1080_30_yuv420p.yuv_HEVC_5M,lofps_4k_testnum_005,4991.25390625,30.0,2073600.0,HEVC,0.2912589743049073,249300.0,1.0,1.0,37.07715994839162,2.8362795522147977,3.2524681184880198,37.72214577157476,0.7396499170897012,4055.497340732281,1.3959917308185756,3.002133821876719,2.852054441078506
3rd_02_1920x1080_60_yuv420p.yuv_H264_1.5M,lofps_4K_testnum_013,1467.9853515625,60.0,2073600.0,H264,0.6996872471245851,34608.0,1.2305759803921603,2.0,53.44205410045655,2.8364095937005107,38.92651427336942,44.54048155272042,0.8733427755435377,1139.5312237259948,1.53223359117712,1.8576432450781395,1.8061810682170438
3rd_02_1920x1080_60_yuv420p.yuv_H264_10M,lofps_4k_testnum_011,9950.525390625,60.0,2073600.0,H264,0.8171351443123417,270698.0,1.9992034313725497,2.0,50.189163619585,3.011220581161135,30.76853208095254,36.5754360229191,0.7171654122141,5296.504855316478,1.5135045682482609,3.0769397358660657,3.10373103612186
3rd_02_1920x1080_60_yuv420p.yuv_H264_5M,lofps_4k_testnum_005,4926.9140625,60.0,2073600.0,H264,0.7915671671419976,138045.0,2.0,2.0,52.51970024381482,4.542564558634291,23.617692514119607,39.459893398584605,0.7737233999722472,3099.6268765311434,1.611873181132529,2.7160368766175225,2.768444427956152
3rd_02_1920x1080_60_yuv420p.yuv_HEVC_10M,lofps_4K_testnum_013,9962.310546875,60.0,2073600.0,HEVC,0.11992917258126419,267551.0,2.0,2.0,48.73347479011449,2.6234775068383343,6.527485525301364,36.861150993203104,0.7227676665333942,4203.045621830678,1.2720019549729555,3.358728740047922,3.403465415579528
3rd_02_1920x1080_60_yuv420p.yuv_HEVC_5M,lofps_4K_testnum_013,4915.5244140625,60.0,2073600.0,HEVC,0.15050253384267864,126312.0,1.0,1.0,49.026110682883015,2.2720849121428754,3.7070306410851,39.61595372605024,0.776783406393142,2265.335642415547,1.3428327463763887,3.0616055417565424,2.757790072975035
3rd_02_3840x2160_30_yuv420p.yuv_HEVC_20M,lofps_4k_testnum_009,20242.05078125,30.0,8294400.0,HEVC,0.3087080155198398,910982.0,2.0183715792795596,2.0,-0.6389941759361562,1.3518234685989956,27.74698055735001,36.64634433048087,0.7185557711858994,35119.78999560171,3.162721260743484,3.8391489261872227,4.006790902282548
3rd_02_3840x2160_30_yuv420p.yuv_HEVC_3M,lofps_4k_testnum_011,2966.689453125,30.0,8294400.0,HEVC,0.5545433713143606,78910.0,2.9318702723156136,3.0,-0.6449865392191416,1.0713875026294097,16.10209038277323,45.27913291434392,0.8878261355753709,6481.778534832346,2.307746552002516,2.5770208336498177,2.6576959706561
3rd_02_3840x2160_60_yuv420p.yuv_H264_10M,lofps_4K_testnum_013,9954.794921875,60.0,8294400.0,H264,0.7138696929076785,214764.0,2.038549382716049,2.25,-0.7148205406735046,1.0335379779476055,46.19023269609781,41.39714735464458,0.8117087716596977,11969.392135670842,3.508914775355716,3.143183967050215,3.2343441963623576
3rd_02_3840x2160_60_yuv420p.yuv_H264_20M,lofps_4k_testnum_010,20038.01953125,60.0,8294400.0,H264,0.6306432371773123,485459.0,2.059629629629626,2.0,-0.5541257903433539,1.7349125899329554,55.70061933863851,38.403005832766546,0.7530001143679715,22648.8881502195,3.6736582529457324,3.593760205349993,3.7859843512659443
3rd_02_3840x2160_60_yuv420p.yuv_H264_55M,lofps_4k_testnum_009,55865.62109375,60.0,8294400.0,H264,0.41923253018205037,1324842.0,2.978703703703701,3.0,-0.6115197902082192,1.9786211307145063,72.57416718663343,33.19214745769698,0.6508264207391565,63330.15206989519,4.099399524959076,4.123483568762252,4.211887904995052
