PVS,dataset,Resolution,Framerate,bitrate,video_codec,quant,mean_qp,p1204_3_score
isometric_01_1920x1080_60_yuv420p.yuv_AV1_2M,hifps_120_testnum_004,2073600,60,2.0,AV1,0.8220588235294117,209.625,3.2538560921543738
isometric_01_1920x1080_60_yuv420p.yuv_AV1_2M,lofps_4k_testnum_005,2073600,60,2.0,AV1,0.8220588235294117,209.625,3.2538560921543738
isometric_01_1920x1080_60_yuv420p.yuv_AV1_2M,lofps_4k_testnum_007,2073600,60,2.0,AV1,0.8220588235294117,209.625,3.2538560921543738
isometric_01_1920x1080_60_yuv420p.yuv_AV1_2M,lofps_4k_testnum_009,2073600,60,2.0,AV1,0.8220588235294117,209.625,3.2538560921543738
isometric_01_1920x1080_60_yuv420p.yuv_AV1_2M,lofps_4k_testnum_010,2073600,60,2.0,AV1,0.8220588235294117,209.625,3.2538560921543738
isometric_01_1920x1080_60_yuv420p.yuv_AV1_2M,lofps_4k_testnum_011,2073600,60,2.0,AV1,0.8220588235294117,209.625,3.2538560921543738
isometric_01_1920x1080_60_yuv420p.yuv_AV1_2M,lofps_4K_testnum_013,2073600,60,2.0,AV1,0.8220588235294117,209.625,3.2538560921543738
isometric_01_1920x1080_60_yuv420p.yuv_AV1_2M,lofps_4K_testnum_014,2073600,60,2.0,AV1,0.8220588235294117,209.625,3.2538560921543738
isometric_01_1920x1080_60_yuv420p.yuv_AV1_5M,lofps_4k_testnum_010,2073600,60,5.0,AV1,0.7033790849673203,179.36166666666668,3.5913617193160565
isometric_01_3840x2160_30_yuv420p.yuv_AV1_1.3M,lofps_4K_testnum_014,8294400,30,1.3,AV1,0.9393785421145202,239.54152823920265,3.161331954061234
isometric_01_3840x2160_30_yuv420p.yuv_AV1_20M,lofps_4k_testnum_011,8294400,30,20.0,AV1,0.4965148850237769,126.61129568106313,4.277052754526828
isometric_01_3840x2160_30_yuv420p.yuv_AV1_3M,lofps_4K_testnum_014,8294400,30,3.0,AV1,0.8188652205068073,208.81063122923587,3.638847732259704
isometric_01_3840x2160_30_yuv420p.yuv_AV1_5M,lofps_4K_testnum_013,8294400,30,5.0,AV1,0.737046446485571,187.9468438538206,3.869811953757947
isometric_01_3840x2160_60_yuv420p.yuv_AV1_10M,lofps_4K_testnum_013,8294400,60,10.0,AV1,0.6926038302176112,176.61397670549084,3.9713498222728334
